trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5, 'e': 0.421334222154768}",25,0,-89.90420003995075,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,0,-42.80790197442967,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",25,0,15.354121222026876,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,0,-13.346408178615748,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,0,-65.87391453539497,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,4,0.015672033816516828,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,-55.39998460206837,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,0,3.102620628661092,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",25,0,-71.15373130319357,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",25,5,-35.946020985474114,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",25,0,-42.09976341541699,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,0,-29.73678563448286,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,12,5.51410105799784,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",30,13,7.020993650103671,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,11,-26.671463130285638,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",30,0,-2.806523091335455,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,0,-1.0173528442020645,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,0,-16.52295638472187,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",25,15,-33.10058241699511,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",25,0,-11.992879976756697,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,0,-39.744826334534466,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",20,0,-51.77631926382874,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,0,-60.28520680345943,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,3.6476524810128237,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,0,13.933362386727447,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,8.14884947211527,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,0,-60.02827964559904,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,0,28.038106252826214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,0,14.67721604560026,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,0,8.13759032788425,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",30,0,6.502470893175519,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,10,19.1914963892898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,0,4.938308703334604,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,0,31.254508352279743,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,0,-48.68241688728622,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,0,-1.4843294856414353,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,0,-17.919872242663313,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,11.50219546419339,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,14,-2.325728026977921,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",35,0,7.332068416412032,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,0,-80.97292703541451,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,0,24.39737655056102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,7,-12.350639185554346,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",35,0,-6.636984001164601,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",35,0,23.532714767614163,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,5,-29.731845437663644,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",25,3,-30.547887256087606,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,0,-35.447730984761215,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",25,0,-26.27193143181896,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,0,-43.36554240020879,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",35,22,21.77620552032702,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,5,-4.126256446580058,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",20,0,-8.379777486027322,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",30,19,9.128617056640188,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,2,10.986354744193402,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,0,23.163014144235945,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
